timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8
48346716607,46971,1,1,1,1,1,1,1,1
48346740275,46972,1,1,1,1,1,1,1,1
48346771627,46973,1,1,1,1,1,1,1,1
48346802770,46974,1,1,1,1,1,1,1,1
48346857906,46975,1,1,1,1,1,1,1,1
48346875280,46976,1,1,1,1,1,1,1,1
48346895280,46977,1,1,1,1,1,1,1,1
48346934273,46978,1,1,1,1,1,1,1,1
48346959138,46979,1,1,1,1,1,1,1,1
48346989283,46980,1,1,1,1,1,1,1,1
48347026500,46981,1,1,1,1,1,1,1,1
48347051552,46982,1,1,1,1,1,1,1,1
48347090262,46983,1,1,1,1,1,1,1,1
48347123991,46984,1,1,1,1,1,1,1,1
48347151527,46985,1,1,1,1,1,1,1,1
48347180230,46986,1,1,1,1,1,1,1,1
48347211918,46987,1,1,1,1,1,1,1,1
48347240571,46988,1,1,1,1,1,1,1,1
48347271717,46989,1,1,1,1,1,1,1,1
48347302860,46990,1,1,1,1,1,1,1,1
48347331740,46991,1,1,1,1,1,1,1,1
48347389379,46992,1,1,1,1,1,1,1,1
48347394316,46993,1,1,1,1,1,1,1,1
48347429013,46994,1,1,1,1,1,1,1,1
48347459029,46995,1,1,1,1,1,1,1,1
48347489035,46996,1,1,1,1,1,1,1,1
48347521553,46997,1,1,1,1,1,1,1,1
48347569000,46998,1,1,1,1,1,1,1,1
48347586563,46999,1,1,1,1,1,1,1,1
48347616623,47000,1,1,1,1,1,1,1,1
48347646526,47001,1,1,1,1,1,1,1,1
48347682823,47002,1,1,1,1,1,1,1,1
48347714014,47003,1,1,1,1,1,1,1,1
48347765179,47004,1,1,1,1,1,1,1,1
48347771710,47005,1,1,1,1,1,1,1,1
48347803003,47006,1,1,1,1,1,1,1,1
48347839076,47007,1,1,1,1,1,1,1,1
48347867729,47008,1,1,1,1,1,1,1,1
48347895277,47009,1,1,1,1,1,1,1,1
48347932816,47010,1,1,1,1,1,1,1,1
48347959037,47011,1,1,1,1,1,1,1,1
48347990761,47012,1,1,1,1,1,1,1,1
48348021548,47013,1,1,1,1,1,1,1,1
48348051579,47014,1,1,1,1,1,1,1,1
48348084304,47015,1,1,1,1,1,1,1,1
48348124025,47016,1,1,1,1,1,1,1,1
48348151822,47017,1,1,1,1,1,1,1,1
48348200573,47018,1,1,1,1,1,1,1,1
48348207764,47019,1,1,1,1,1,1,1,1
48348240378,47020,1,1,1,1,1,1,1,1
48348271801,47021,1,1,1,1,1,1,1,1
48348305279,47022,1,1,1,1,1,1,1,1
48348334001,47023,1,1,1,1,1,1,1,1
48348362725,47024,1,1,1,1,1,1,1,1
48348396520,47025,1,1,1,1,1,1,1,1
48348427894,47026,1,1,1,1,1,1,1,1
48348459411,47027,1,1,1,1,1,1,1,1
48348516611,47028,1,1,1,1,1,1,1,1
48348524739,47029,1,1,1,1,1,1,1,1
48348553100,47030,1,1,1,1,1,1,1,1
48348582918,47031,1,1,1,1,1,1,1,1
48348621802,47032,1,1,1,1,1,1,1,1
48348646618,47033,1,1,1,1,1,1,1,1
48348685255,47034,1,1,1,1,1,1,1,1
48348709036,47035,1,1,1,1,1,1,1,1
48348744030,47036,1,1,1,1,1,1,1,1
48348772888,47037,1,1,1,1,1,1,1,1
48348824022,47038,1,1,1,1,1,1,1,1
48348838151,47039,1,1,1,1,1,1,1,1
48348866862,47040,1,1,1,1,1,1,1,1
48348896647,47041,1,1,1,1,1,1,1,1
48348926793,47042,1,1,1,1,1,1,1,1
48348961663,47043,1,1,1,1,1,1,1,1
48349009384,47044,1,1,1,1,1,1,1,1
48349027802,47045,1,1,1,1,1,1,1,1
48349053981,47046,1,1,1,1,1,1,1,1
48349084050,47047,1,1,1,1,1,1,1,1
48349116637,47048,1,1,1,1,1,1,1,1
48349147984,47049,1,1,1,1,1,1,1,1
48349178992,47050,1,1,1,1,1,1,1,1
48349210261,47051,1,1,1,1,1,1,1,1
