timestamp,sequence,battery,flags,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6,IMU_B-ch7,IMU_B-ch8,IMU_B-ch9
47842066418,30823,5,0,9.1779296875,1.9164550781,-3.3137207031,0.7317073171,1.7073170732,0.5182926829,105.5978880422,-97.1980560389,-76.7984640307
47842102514,30824,5,0,9.2138183594,1.6652343750,-3.2108398438,-1.5853658537,1.5548780488,-0.5792682927,105.5978880422,-97.1980560389,-76.7984640307
47842128764,30825,5,0,9.1276855469,1.7776855469,-3.2515136719,-0.6402439024,1.6768292683,0.3658536585,110.9977800444,-96.5980680386,-78.5984280314
47842175017,30826,5,0,9.0941894531,1.7274414063,-3.2395507813,-1.2804878049,1.2500000000,0.9146341463,110.9977800444,-96.5980680386,-78.5984280314
47842191210,30827,5,0,9.1898925781,1.6724121094,-3.2156250000,-1.1280487805,0.6097560976,0.9146341463,110.9977800444,-96.5980680386,-78.5984280314
47842223718,30828,5,0,9.2066406250,1.8040039063,-3.2491210938,-0.4268292683,0.7621951220,0.7926829268,110.9977800444,-96.5980680386,-78.5984280314
47842253674,30829,5,0,9.1731445313,1.6748046875,-3.2132324219,-1.2195121951,0.8231707317,0.1524390244,108.5978280434,-100.1979960401,-78.5984280314
47842287474,30830,5,0,9.1731445313,1.6748046875,-3.2132324219,-1.2195121951,0.8231707317,0.1524390244,108.5978280434,-100.1979960401,-78.5984280314
47842317421,30831,5,0,9.1707519531,1.8949218750,-3.2515136719,-0.4573170732,0.7012195122,0.4878048780,108.5978280434,-100.1979960401,-78.5984280314
47842373712,30832,5,0,9.1755371094,1.7106933594,-3.2491210938,-2.0426829268,0.6707317073,0.3048780488,108.5978280434,-100.1979960401,-78.5984280314
47842383715,30833,5,0,9.2114257813,1.7561523438,-3.2204101563,-1.6768292683,0.9451219512,0.7621951220,107.9978400432,-100.7979840403,-74.3985120298
47842416226,30834,5,0,9.1731445313,1.8207519531,-3.2371582031,-2.1341463415,1.3109756098,0.8841463415,107.9978400432,-100.7979840403,-74.3985120298
47842446426,30835,5,0,9.1970703125,1.8327148438,-3.2515136719,-3.3536585366,1.1280487805,0.7621951220,107.9978400432,-100.7979840403,-74.3985120298
47842478735,30836,5,0,9.1683593750,1.9284179688,-3.2993652344,-5.0914634146,1.0975609756,1.0365853659,107.9978400432,-100.7979840403,-74.3985120298
47842507462,30837,5,0,9.1827148438,2.1246093750,-3.3256835938,-8.5670731707,0.9756097561,2.2560975610,104.3979120418,-100.7979840403,-76.7984640307
47842535174,30838,5,0,9.1300781250,2.1198242188,-3.3137207031,-15.3353658537,1.4939024390,4.2987804878,104.3979120418,-100.7979840403,-76.7984640307
47842566362,30839,5,0,9.1037597656,2.0863281250,-3.3376464844,-21.8902439024,1.7073170732,5.8231707317,104.3979120418,-100.7979840403,-76.7984640307
47842597458,30840,5,0,9.1755371094,1.8279296875,-3.2204101563,-27.5914634146,0.9451219512,6.4024390244,104.3979120418,-100.7979840403,-76.7984640307
47842638702,30841,5,0,9.2951660156,1.7202636719,-3.1558105469,-29.3292682927,2.3475609756,6.1280487805,98.9980200396,-94.1981160377,-84.5983080338
47842658947,30842,5,0,9.2855957031,1.4235839844,-2.9835449219,-28.9939024390,4.2987804878,5.8231707317,98.9980200396,-94.1981160377,-84.5983080338
47842701199,30843,5,0,9.2927734375,1.6460937500,-2.9715820313,-23.8109756098,5.7926829268,5.7317073171,98.9980200396,-94.1981160377,-84.5983080338
47842751272,30844,5,0,9.3190917969,1.6891601563,-2.8663085938,-20.3048780488,5.7926829268,3.2012195122,98.9980200396,-94.1981160377,-84.5983080338
47842755038,30845,5,0,9.2449218750,1.5767089844,-2.7586425781,-16.6158536585,5.7012195122,0.9451219512,98.9980200396,-94.1981160377,-84.5983080338
47842787535,30846,5,0,9.2353515625,1.7298339844,-2.7155761719,-11.1890243902,5.1219512195,0.9756097561,96.5980680386,-96.5980680386,-84.5983080338
47842817689,30847,5,0,9.2377441406,1.8040039063,-2.7610351563,-7.9878048780,4.5121951220,0.2134146341,96.5980680386,-96.5980680386,-84.5983080338
47842848950,30848,5,0,9.2497070313,1.9164550781,-2.7514648438,-5.5182926829,3.7804878049,-0.1829268293,96.5980680386,-96.5980680386,-84.5983080338
47842878794,30849,5,0,9.2090332031,1.8542480469,-2.7442871094,-4.2378048780,2.7743902439,-0.4878048780,96.5980680386,-96.5980680386,-84.5983080338
47842906583,30850,5,0,9.2329589844,1.8997070313,-2.6844726563,-2.1036585366,1.8597560976,-0.3658536585,96.5980680386,-98.9980200396,-84.5983080338
47842943997,30851,5,0,9.2903808594,1.8494628906,-2.6629394531,-0.0914634146,1.1280487805,-0.6097560976,96.5980680386,-98.9980200396,-84.5983080338
47842982716,30852,5,0,9.2640625000,1.7848632813,-2.6844726563,2.2560975610,1.0060975610,-0.4573170732,96.5980680386,-98.9980200396,-84.5983080338
47843015025,30853,5,0,9.3262695313,1.7465820313,-2.6772949219,5.7621951220,0.3963414634,-0.5487804878,96.5980680386,-98.9980200396,-84.5983080338
47843042498,30854,5,0,9.2879882813,1.6173828125,-2.6772949219,9.8475609756,0.2134146341,-2.2560975610,96.5980680386,-101.3979720406,-84.5983080338
47843068677,30855,5,0,9.3382324219,1.8853515625,-2.7634277344,16.1890243902,-0.3658536585,-3.3231707317,96.5980680386,-101.3979720406,-84.5983080338
47843097597,30856,5,0,9.2951660156,2.0241210938,-2.8304199219,17.9878048780,-0.0304878049,-4.2073170732,96.5980680386,-101.3979720406,-84.5983080338
47843136311,30857,5,0,9.2473144531,2.0193359375,-2.8399902344,17.6219512195,0.2134146341,-4.3597560976,96.5980680386,-101.3979720406,-84.5983080338
47843167443,30858,5,0,9.1803222656,2.1006835938,-2.8782714844,16.7682926829,0.3963414634,-3.5975609756,106.7978640427,-99.5980080398,-82.7983440331
